====================================================================================================
EMIT family-B CERTIFICATE   target a >= 0.8344
  witness: 1024-gon disk, 1024 arc points per curved core
  arc sagitta 4.706e-06  ->  deficit <= 1.600e-05
  search threshold = 0.834416002117   (5-D ceiling is 0.834781)
  4,194,304 seeds (depth 22), hmin 1e-05
====================================================================================================
    3,380,000/4,194,304 seeds      239,910,646 nodes   [ 230.4 min,    17,356 nodes/s]
    3,400,000/4,194,304 seeds      242,790,808 nodes   [ 230.5 min,    17,558 nodes/s]
    3,420,000/4,194,304 seeds      242,810,808 nodes   [ 230.5 min,    17,555 nodes/s]
    3,440,000/4,194,304 seeds      242,830,808 nodes   [ 230.6 min,    17,552 nodes/s]
    3,460,000/4,194,304 seeds      248,269,562 nodes   [ 241.1 min,    17,163 nodes/s]
    3,480,000/4,194,304 seeds      248,289,562 nodes   [ 241.3 min,    17,152 nodes/s]
    3,500,000/4,194,304 seeds      248,309,562 nodes   [ 241.4 min,    17,141 nodes/s]
    3,520,000/4,194,304 seeds      248,329,562 nodes   [ 241.6 min,    17,130 nodes/s]
    3,540,000/4,194,304 seeds      248,349,562 nodes   [ 241.8 min,    17,119 nodes/s]
    3,560,000/4,194,304 seeds      248,369,562 nodes   [ 242.0 min,    17,108 nodes/s]
    3,580,000/4,194,304 seeds      248,389,562 nodes   [ 242.1 min,    17,097 nodes/s]
    3,600,000/4,194,304 seeds      248,409,562 nodes   [ 242.3 min,    17,086 nodes/s]
    3,620,000/4,194,304 seeds      248,429,562 nodes   [ 242.5 min,    17,075 nodes/s]
    3,640,000/4,194,304 seeds      248,449,562 nodes   [ 242.7 min,    17,065 nodes/s]
    3,660,000/4,194,304 seeds      248,469,562 nodes   [ 242.8 min,    17,053 nodes/s]
    3,680,000/4,194,304 seeds      248,489,562 nodes   [ 243.0 min,    17,042 nodes/s]
    3,700,000/4,194,304 seeds      259,878,030 nodes   [ 270.8 min,    15,996 nodes/s]
    3,720,000/4,194,304 seeds      259,898,030 nodes   [ 270.9 min,    15,988 nodes/s]
    3,740,000/4,194,304 seeds      259,918,030 nodes   [ 271.1 min,    15,980 nodes/s]
    3,760,000/4,194,304 seeds      261,637,106 nodes   [ 271.2 min,    16,080 nodes/s]
    3,780,000/4,194,304 seeds      261,657,106 nodes   [ 271.3 min,    16,076 nodes/s]
    3,800,000/4,194,304 seeds      261,677,106 nodes   [ 271.4 min,    16,072 nodes/s]
    3,820,000/4,194,304 seeds      261,697,106 nodes   [ 271.4 min,    16,068 nodes/s]
    3,840,000/4,194,304 seeds      261,717,106 nodes   [ 271.5 min,    16,065 nodes/s]
    3,860,000/4,194,304 seeds      261,737,106 nodes   [ 271.6 min,    16,061 nodes/s]
    3,880,000/4,194,304 seeds      261,757,106 nodes   [ 271.7 min,    16,057 nodes/s]
    3,900,000/4,194,304 seeds      261,777,106 nodes   [ 271.8 min,    16,053 nodes/s]
    3,920,000/4,194,304 seeds      261,797,106 nodes   [ 271.9 min,    16,050 nodes/s]
